Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Renegociação de dívida (exceto cartão de crédito);0;0;6;6;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;62;62;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Restrições cadastrais;0;0;12;12;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Saque ou depósito divergente em terminais de autoatendimento;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Terminais eletrônicos e internet;0;0;3;3;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Venda casada;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Cobrança irregular de tarifa em conta-salário;1;1;0;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Cobrança irregular de tarifa por serviços não contratados;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;2;0;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Contratação de pacote de serviços sem contrato específico;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Insatisfação com o atendimento prestado por agências;0;0;9;9;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Irregularidades relacionadas ao acompanhamento de conta;0;2;0;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Irregularidades relativas à integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Não divulgação de situações que impliquem recusa à realização de serviços;1;1;0;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;0;2;0;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Produto ou serviço não solicitado (exceto cartões de crédito/débito);0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Reclamações relacionadas a assuntos diversos;0;0;3;3;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Recusa ou difilculdade de acesso aos canais de atendimento convencionais;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A;Renegociação de dívida (exceto cartão de crédito);0;0;3;3;
