Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;62232889;DAYCOVAL;BANCO DAYCOVAL S.A.; 0 ;1628;95;170;910;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;43818780;DAYCOVAL;DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.; ;3;0;0;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DMCARD; ;66,33;304;110;142;235;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;91669747;DMCARD;DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; 0 ;304;110;142;235;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EAGLE; ; ;6;1;1;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;11414839;EAGLE;EAGLE INSTITUICAO DE PAGAMENTO LTDA.; ;6;1;1;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EDENRED; ; ;8;3;2;5;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;65697260;EDENRED;REPOM INSTITUIÇÃO DE PAGAMENTO HUSA S.A.; ;3;3;2;4;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;59158642;EDENRED;EDENRED SOLUCOES E INSTITUICAO DE PAGAMENTO AHA S.A.; ;5;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FISERV; ; ;20;2;8;5;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;04962772;FISERV;FISERV DO BRASIL  INSTITUIÇÃO DE PAGAMENTO LTDA; ;20;2;8;5;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GAZIN; ; ;6;2;2;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;11760553;GAZIN;GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;2;2;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GENIAL; ;65,19;189;88;97;172;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;45246410;GENIAL;BANCO GENIAL S.A.; 0 ;189;88;97;172;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GERENCIANET; ;90,03;101;44;44;100;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;37229413;GERENCIANET;SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.; ;1;1;1;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;09089356;GERENCIANET;EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO; 0 ;100;43;43;99;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GM; ; ;51;9;11;41;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;59274605;GM;BANCO GM S.A.; ;51;9;11;41;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GRUPO BONSUCESSO - BS2; ;79,87;108;37;36;110;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;71027866;GRUPO BONSUCESSO - BS2;BANCO BS2 S.A.; 0 ;108;37;36;110;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GRUPO ZEMA; ; ;122;24;29;101;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;05351887;GRUPO ZEMA;ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A; ;122;24;29;101;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HERVAL - HS; ; ;26;13;13;27;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;07512441;HERVAL - HS;HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;26;13;13;27;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HONDA; ; ;57;8;12;38;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;03634220;HONDA;BANCO HONDA S.A.; ;57;8;12;38;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INDUSTRIAL DO BRASIL; ; ;74;13;19;51;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;31895683;INDUSTRIAL DO BRASIL;BANCO INDUSTRIAL DO BRASIL S.A.; ;74;13;19;51;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INTER; ;74,11;7256;488;2515;1407;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;22177858;INTER;INTER PAG INSTITUIÇÃO DE PAGAMENTO S.A.; 0 ;39;1;10;4;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;00416968;INTER;BANCO INTER S.A.; 0 ;7217;487;2505;1403;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ITAU; ;49,97;18777;998;4956;4009;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61190658;ITAU;BANCO ITAÚ VEÍCULOS S.A.; 0 ;13;5;5;13;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61182408;ITAU;BANCO INVESTCRED UNIBANCO S.A.; 0 ;11;1;2;6;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;60872504;ITAU;ITAÚ UNIBANCO HOLDING S.A.; 0 ;650;65;105;402;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;60701190;ITAU;ITAÚ UNIBANCO S.A.; 0 ;15070;452;4057;1679;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;60394079;ITAU;BANCO ITAUBANK S.A.; 0 ;139;37;51;100;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33885724;ITAU;BANCO ITAÚ CONSIGNADO S.A.; 0 ;833;130;186;583;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;17192451;ITAU;BANCO ITAUCARD S.A.; 0 ;1357;261;481;737;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;06881898;ITAU;FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; 0 ;114;5;6;91;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;03012230;ITAU;HIPERCARD BANCO MÚLTIPLO S.A.; 0 ;147;18;23;115;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;02206577;ITAU;LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; 0 ;360;22;30;267;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;01425787;ITAU;REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.; 0 ;83;2;10;16;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;JP MORGAN CHASE; ; ;2;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;46518205;JP MORGAN CHASE;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; ;2;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;LOAN BRASIL; ; ;12;2;2;10;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;20308187;LOAN BRASIL;PROVER PROMOCAO DE VENDAS INSTITUICAO DE PAGAMENTO LTDA; ;12;2;2;10;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MASTER; ;152,41;2934;797;1360;1575;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61024352;MASTER;BANCO VOITER S.A.; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;58497702;MASTER;BANCO LETSBANK S.A.; ;2;1;1;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33923798;MASTER;BANCO MASTER S/A; 0 ;2013;316;706;901;
