Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;49;202;0;251;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Restrição à realização de portabilidade de operações de financiamento imobiliário relativas a pessoas naturais;0;1;0;1;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Restrições cadastrais;0;0;820;820;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Segurança bancária;0;0;40;40;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Tempo de espera em fila;0;0;254;254;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Terminais eletrônicos e internet;0;0;395;395;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário;2;13;0;15;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado;3;17;0;20;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de financiamento imobiliário;1;10;0;11;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Venda casada;0;0;94;94;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CAIXA GERAL (conglomerado);Ouvidoria - Outras irregularidades;1;0;0;1;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;0;0;1;1;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;1;0;1;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;Restrições cadastrais;0;0;1;1;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Bloqueio de margem consignável sem liberação do empréstimo (exceto cartão de crédito consignável);0;0;5;5;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;0;0;2;2;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;5;4;0;9;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Cobrança irregular de tarifa de serviço diferenciado (exceto cartão de crédito);1;0;0;1;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;160;160;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;2;4;0;6;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;5;20;0;25;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Descumprimento contratual;0;0;44;44;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Descumprimento de ordem judicial;0;0;1;1;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Dificuldade na liberação ou substituição de bem;0;0;5;5;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Golpe;0;0;6;6;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;2;23;0;25;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;6;6;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;2;2;
